email, name, jobTitle, calledToBar, city, AreasOfPractice
"al@a.com","Big All","Lawyer","2000","Ancaster",""
"al@a.com","Big Arf","Clerk;Judge","1970","Toronto","Common Law"
"al@a.com","Big All","Lawyer","2000","Ancaster","Civil Law"
"bart@b.com","El Barto","Clerk;Lawyer;Mister Man","1990","Hamilton","Cool Law;Common Law"
"bart@b.com","El Barto","Clerk;Ark Man","1990","Toronto","Common Law"
"bart@b.com","El Bistro","","1990","Toronto","Criminal Law"
"carry@c.com","Carry Hy","Judge;Lawyer;Makeup Splatter","","Hamilton",""
"carry@c.com","Carry Hy","Judge;Lawyer;Makeup Splatter","","Hamilton"
"carry@c.com","Carry Hy","Judge;Lawyer;Makeup Splatter","","Hamilton"
"dennis@d.com","Denny","Clerk;Lawyer","1990","Hamilton","Tort Law;Common Law"
"dennis@d.com","Mark F","Clerk;Judge","1975","Hamilton","Tort Law;Common Law"
"dennis@d.com","Denny","","1822","Ancaster","Tort Law;Common Law"
"mat@m.com","Mat Man","Corn;Lawyer","2010","Ancaster","Civil Law;Tort Law"
